Hilos    Tiempo    Speedup
1    37.954815611    0.42967586935855284
2    31.071838382    0.5248568878836414
3    24.953733487    0.6535402168375334
4    23.071346856    0.7068624339874126
5    22.388773775    0.7284127553341183
6    22.705432803    0.7182540203261502
7    21.715059383    0.7510119178751683
8    22.361549812    0.729299557996128
9    23.794164106    0.6853894224377339
10    24.063274627    0.6777244014703403
11    25.185399675    0.6475286715496604
12    26.785964167    0.6088363402685201
13    28.658472344    0.5690557472235374
14    30.980923917    0.5263970964097442
15    30.042425637    0.5428412669153743
16    31.954297233    0.5103622925919974
